ADI,TRECHO
Rua Loteamento Jardim das Orquídeas (SCI 903),Intersecção com a Rua D Loteamento Jardim das Orquídeas até a intersecção com a Rua B Loteamento das Orquídeas
Rua B Loteamento das Orquídeas,Intersecção com a Rua Loteamento Jardim das Orquídeas (SCI 903) até a Rua do Sol
Rua do Sol,Da Rua do Sol até a interseção com a Rodovia Dep. Diomício Freitas
Rua José Xavier da Rosa,Toda sua extensão
Rua Saul Oliveira,Intersecção com a Avenida Alberto Santos Dumont até a intersecção com a Rua Galvão
Rua Galvão,Intersecção com a Rua Saul Oliveira até a intersecção com a Rua João Sallum
Rua Jaoão Sallum,Intersecção com a Rua Galvão até a intersecção com a Avenida Alberto Santos Dumont
Rua Servidão da Creche,Toda sua extensão
Servidão Ismael João da Silva,Toda sua extensão
Servidão Tupi,Toda sua extensão
Rodovia Joao Gualberto Soares,Intersecção com a Servidão Alzira Rosa Aguiar até a intersecção com a Servidão Lua Branca
Rua Luiz Duarte Soares,Toda sua extensão
Rodovia João Gualberto Soares (SC-406),Intersecção com a Servidão Agentina Barcelos Silveira até a intersecção com a Rua Cândido Pereira dos Anjos
Rua Cândido Pereira dos Anjos (Travessão),Intersecção com a Rodovia João Gualberto Soares (SC-406) até a intersecção com a Servidão Lua Branca
Servidão Lua Branca,Toda sua extensão
Rua Alzira Rosa Aguiar,Toda sua extensão
Servidão Henrique Thomáz Nunes,Toda sua extensão
Rua Cândido Pereira dos Anjos,Intersecção com a Servidão Lua Branca até a intersecção com a Servidão Henrique Thomas Nunes
Rua Cândido Pereira dos Anjos,Intersecção com a Servidão Henrique Thomas Nunes com a intersecção da Servidão Alzira Rosa Aguiar
Rodovia João Gualberto Soares (SC-406),Intersecção com a Servidão Lua Branca até a intersecção com a Servidão Argentina Barcelos Silveira
Rua Padre Lourenço Rua de Andrade,Intersecção com a Rodovia José Carlos Daux (SC-401) até a intersecção com a Rua Sen. Mafra
Rua Dep. Walter Gomes,Intersecção com a Rodovia José Carlos Daux (SC-401) até a intersecção com a Rua Padre Lourenço Rua de Andrade
Rua Teodoro Manoel Dias,"Intersecção com a Rodovia José Carlos Daux (SC-401) até as coordenadas 27°30'07.3""S 48°30'38.4""W (via projetada SCI-504)"
SCI-504 (Projetada),"Intersecção com a Rodovia José Carlos Daux (SC-401) até as coordenadas 27°30'07.3""S 48°30'38.4""W (via projetada CI-502)"
CI-502 (Projetada),"Intersecção com a Rodovia José Carlos Daux (SC-401) até as coordenadas 27°30'07.3""S 48°30'38.4""W (via projetada SCI-504)"
Rodovia José Carlos Daux (SC-401),Intersecção com a Estrada Caminho dos Açores até a intersecção com a Rua Intendente Antônio Damasco
Avenida Gov. Ivo Silveira,Intersecção com a Rodovia BR-282 Via Expressa até a intersecção com a Rua General Eurico Gaspar Dutra
Rua Luiz Carlos Prestes,Intersecção com a Rua Prof. Egídio Ferreira até a intersecção com a Rua Araci Vaz de Callado
Rua Prof. Egídio Ferreira,Intersecção com a Rua Edelberto de Oliveira até a intersecção com a Intersecção com a Rua Luiz Carlos Prestes
Rua Araci Vaz de Callado,Intersecção com a Rua Luiz Carlos Prestes até a intersecção com a Rua Gen. Liberato Bittencourt
